Date,Lecture Topic,Reading
Thurs Aug 20,Introduction to the course,Syllabus
Tues Aug 25,Introduction to Psychology,1
Thurs Aug 27,Psychological Research,2
Tues Sep 1,Biopsychology and the Brain (part 1),3
Thurs Sep 3,Biopsychology and the Brain (part 2),3
Tues Sep 8,Consciousness and Attention,"4.1, 4.5, 4.6"
Thurs Sep 10,Sensation and Perception,5
Tues Sep 15,Review for Exam 1,
Thurs Sep 17,EXAM 1,
Tues Sep 22,Learning,6
Thurs Sep 24,Memory,8
Tues Sep 29,Sleep,4.2-4.4
Thurs Oct 1,Thinking and Intelligence,7
Tues Oct 6,Development,9
Thurs Oct 8,Aging,9
Tues Oct 13,Emotion and Motivation,10
Thurs Oct 15,Review for Exam 2,
Tues Oct 20,EXAM 2,
Thurs Oct 22 ,Personality ,11
Tues Oct 27 ,Social Psychology ,10
Thurs Oct 29 ,Social Psychology ,12
Tues Nov 3 ,Industrial-Organization Psychology ,13
Thurs Nov 5 ,"Stress, Lifestyle, and Health ",14
Tues Nov 10 ,Psychological Disorders ,15
Thurs Nov 12 ,Topic to be voted on by class ,TBD
Tues Nov 17 ,Review for Exam 3 ,
Thurs Nov 19 ,EXAM 3 ,
FINAL EXAM TBD ,,
Final is optional: ,see exam text above for details ,
